게시물 ID,고유 링크,게시물 메시지,유형,국가,언어,게시일,광고 타겟,전체 기간 내 게시물 총 도달수,전체 기간 내 게시물의 유기적 도달 범위,전체 기간 내 게시물 광고 도달 범위,전체 기간 내 게시물 총 노출수,전체 기간 내 게시물 유기적 노출수,전체 기간 내 광고로 인한 게시물 노출수,전체 기간 내 참여한 사용자,전체 기간 내 게시물 이용자,전체 기간 내 게시물 소비,전체 기간 내 부정적인 사용자 피드백,전체 기간 내 페이지 좋아요를 누른 사람에 의한 게시물 노출수,전체 기간 내 페이지 좋아요를 누른 사람을 통한 게시물 도달 범위,전체 기간 내 광고로 인해 페이지 좋아요를 누른 사람에 대한 게시물 노출수,전체 기간 내 페이지를 좋아하는 사람들에 의한 게시물의 광고 도달 범위,전체 기간 내 페이지 좋아요를 누른 후 게시물에 참여한 사람,전체 기간 내 95%까지 재생한 유기적 조회수,전체 기간 내 95%까지 재생한 유기적 조회수,전체 기간 내 95%까지 재생한 광고 조회수,전체 기간 내 95%까지 재생한 광고 조회수,전체 기간 내 유기적 동영상 조회수,전체 기간 내 유기적 동영상 조회수,전체 기간 내 광고 동영상 조회수,전체 기간 내 광고 동영상 조회수,전체 기간 내 평균 동영상 재생 시간,전체 기간 동영상 길이,전체 기간 내 행동별 이야기 하고 있는 사람들(게시물) - like,전체 기간 내 행동별 이야기 하고 있는 사람들(게시물) - comment,전체 기간 내 행동별 이야기 하고 있는 사람들(게시물) - share,전체 기간 내 행동 유형별 게시물 소식 - like,전체 기간 내 행동 유형별 게시물 소식 - comment,전체 기간 내 행동 유형별 게시물 소식 - share,전체 기간 내 유형별 게시물 이용자 - other clicks,전체 기간 내 유형별 게시물 이용자 - photo view,전체 기간 내 유형별 게시물 소비 - other clicks,전체 기간 내 유형별 게시물 소비 - photo view,,,,,,
134338226999288_292258887873887,https://www.facebook.com/Sghumans/posts/292258887873887:0,"#57
“기억에 남는 무대가 있나요?” 
“고 2때 상해에서 제 이름을 따서 공연을 만들었었어요. 외국친구들 반, 한국친구들 반정도 모여서 랩, 비트박스, 춤, 디제잉, 각자 원하는 장르의 공연을 할 수 있게 무대를 만들었어요. 당시 그런 힙합 문화 자체도, 접할 기회도 잘 없었거든요. 그 첫 공연이 제일 기억에 남는 것 같아요. 제가 알기로는 아마 이름은 바뀌었는데 지금까지 그 공연이 이어지고 있을 거예요. 2회까지는 ‘스완쇼’라고 제 이름을 썼는데...(웃음)”   
“혹시 활동명 있으세요?”
“활동명이 ‘스완’이었어요, 이름 그대로요. 되게 실망하신 것 같은데...(웃음) 근데 지금 해쉬스완이 나와서 이제 그만해야 되지 않을까요?(웃음)”",Photo,,,04/13/2017 06:04:49 AM, ,1641,979,0,2629,1808,0,252,243,312,0,1751,939,0,0,196,0,0,0,0,0,0,0,0,0,0,24,,1,27,,1,215,51,,250,62,,,,,
134338226999288_291253137974462,https://www.facebook.com/Sghumans/posts/291253137974462:0,"#56
“제 모토는 안 하고 후회하느니 일단 해보자는 거예요.
사소한 고민거리라도 그렇게 하는 것 같아요. 예를 들어 밤에 치킨을 먹을까 말까 할 때도, 그냥 먹어요. 밤에 먹으면 다음날 아침엔 조금 불편해질 순 있겠지만 그래도 먹는 그 순간이 좋잖아요. 다른 사람들이 보면 즉흥적이고 계획없이 사는 것 같아 보일 수 있겠지만 전 미련이 안 남으니까 그게 좋아요.
아 그리고 연애 얘기도 있는데… 음, 이건 안 말할게요.”",Photo,,,04/11/2017 05:00:00 AM, ,3259,1016,0,4794,1874,0,409,386,536,1,1915,995,0,0,234,0,0,0,0,0,0,0,0,0,0,78,,15,78,,16,355,62,,452,84,,,1,,1
134338226999288_290305114735931,https://www.facebook.com/Sghumans/posts/290305114735931:0,"#55
&quot;며칠전에 엄마가 처음으로 콩나물국을 끓여 주셨어요. 저는 콩나물국을 별로 좋아하지 않아서 안 먹고 있었는데 며칠 후에 엄마가 걸레질을 하면서 대뜸 '아, 콩나물국 버려야지...'라고 혼잣말을 하시더라구요. 미안한 마음에 일부러 엄마가 보는 데서 맛있는 척을 해주려고 맛을 봤어요. 사실 엄마가 평소에 일하느라 바쁘셔서 집에서는 요리 걱정 안하고 쉬었으면 좋겠어요. 저는 배달 반찬도 좋거든요!(웃음)&quot;",Photo,,,04/09/2017 06:28:14 AM, ,5937,1143,0,8949,2089,0,1036,1006,1421,1,2377,1069,0,0,362,0,0,0,0,0,0,0,0,0,0,133,3,18,171,3,35,959,142,,1234,187,,,1,,1
134338226999288_289184271514682,https://www.facebook.com/Sghumans/posts/289184271514682:0,"#54
“Humans of Sogang은 어떤 의도로 기획되었나요?”
“우리 학교는 ‘모래알 서강’같은 이미지가 있잖아요. 저만 해도 청소 노동자 어머님들, 복사대 아주머니를 부모님보다도 많이 보며 살지만 그 분들에 대해서 아는 게 전무했고, 한 학기 내내 옆자리에 앉는 짝꿍과 얘기 한번 안 나누는 경우도 있었어요. 그래서 서로서로에게 관심을 가질 수 있는 학교를 만들고 싶다고 생각하게 되었어요. 실제로 평소에 알고 지내던 사람이라도 항상 하던 얘기만 하다가 인터뷰를 통해 새로운 면을 알게 되니까 놀랄 때가 많아요.”
“실제로 얼마만큼의 효과를 보았다고 생각하세요?”
“음, 개인적으로는 오지랖이 조금 넓어진 것 같아요. (웃음)”
“앞으로 해보고 싶은 시도는 뭔가요?”
“타 대학교에도 Humans of 페이지들이 많은데, 나중에는 그 분들과도 협업을 해보고 싶어요. 실제로 제가 예전에 소개팅을 나갔는데 우연치 않게 상대분도 타 대학교 Humans of 페이지 관리자 분인 거에요. 그래서 속으로 이 분과 잘되면 우리랑 콜라보도 할 수 있겠다 생각했었죠. 결국 둘 다 잘 안 됐지만요.”
“혹시 이 얘기도 올려도 되나요?”
“어.....괜찮을 거에요! 남자친구 페이스북 안해요. (눈치)”",Photo,,,04/07/2017 03:02:09 AM, ,4075,1366,0,5906,2438,0,569,537,852,0,2161,1098,0,0,401,0,0,0,0,0,0,0,0,0,0,83,,9,85,,13,489,142,,669,183,,,,,
134338226999288_280105189089257,https://www.facebook.com/Sghumans/posts/280105189089257,"안녕하세요! 평범한 사람들의 따뜻한 이야기를 전하는 Humans of Sogang입니다. 다들 한 학기는 잘 시작하셨는지, 따뜻한 봄은 잘 맞이 하셨는지 궁금하네요.
 
 다름이 아니라, 잠시 멈추었던 페이지 관리를 다시 시작하고자 이렇게 글을 쓰게 되었습니다. 사실 저희끼리만 페이지를 운영하기에는 부족한 부분이 있어 함께 따뜻한 이야기들을 꾸려 나갈 분들을 찾습니다. 매주 1~2회 모임이 있을 예정이며, 인터뷰부터 사진촬영, 사진편집과 관련된 전반적인 일을 함께 하게 됩니다. 자세한 사항은 아래 링크로 들어가시면 보실 수 있습니다. :)
 항상 관심 가져주셔서 감사합니다. 오늘 하루도 즐거운 일만 가득하길 바래요!
*지원서 링크 : https://goo.gl/X9PwI0",Photo,,,03/20/2017 12:20:18 AM, ,1915,857,0,2913,1485,0,183,163,212,0,1512,855,0,0,158,0,0,0,0,0,0,0,0,0,0,32,1,1,33,1,1,134,28,11,156,44,12,,,,
134338226999288_274368962996213,https://www.facebook.com/Sghumans/posts/274369139662862:0,Humans of Sogang,Photo,,,03/06/2017 03:15:12 AM, ,194,0,0,253,0,0,22,8,18,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,14,14,2,7,2,16,,,,,,,,,,
134338226999288_235848203514956,https://www.facebook.com/Sghumans/posts/235848203514956:0,"#53
“운동을 굉장히 좋아해서 축구, 복싱, 스쿠버 다이빙까지 안 해 본 운동이 없어요. 스트레스도 사라지고 삶의 활력을 얻어서 좋아요. 대학교 입학해서는 다이나믹한 운동을 찾다 주짓수의 매력에 빠졌어요. 다양한 운동을 해봤지만, 주짓수는 실전에 제일 적합한 운동이고 무엇보다 제가 무리하지 않으면 다칠 위험이 낮아서 좋은 운동인 것 같아요. 앞으로 운동도 하면서 여유로운 삶을 살고싶어서 열심히 공부하고 노력 중이에요.”",Photo,,,12/14/2016 02:18:58 AM, ,6186,1290,0,12257,2509,0,807,786,1268,0,2730,1081,0,0,228,0,0,0,0,0,0,0,0,0,0,1,113,19,1,130,21,731,113,1117,151,,,,,,
134338226999288_226684381098005,https://www.facebook.com/Sghumans/posts/226684381098005:0,"#52
 &quot;어렸을 적 문방구에서 50원짜리 카라멜을 팔았어요. 갈색빛의 네모난 카라멜이었는데, 색깔도 탐스럽고 영어로 쓰인 비닐로 포장되어 있어서 너무 먹고싶더라고요. 사실 50원밖에 하지 않았는데, 그걸 하나 먹으면 일주일 용돈이 부족해질까봐 어린 마음에 참고 참다 하나씩 사먹은 기억이 나요. 그땐 휴대용 플라스틱 재떨이 안에다 동전을 넣어다니면서 하나씩 빼다 썼거든요. 그 때 생각을 하면 참 먹고 싶은것도 못 먹고 다녔던게 한이 된 것 같아요.&quot;",Photo,,,11/27/2016 08:17:51 PM, ,1214,854,0,2022,1528,0,168,149,229,0,1362,709,0,0,124,0,0,0,0,0,0,0,0,0,0,,28,1,,31,1,124,37,156,73,,,,,,
134338226999288_225172561249187,https://www.facebook.com/Sghumans/posts/225172561249187:0,"#51
 &quot;도서관 알바를 하다보면 재밌는 일들이 많이 일어나요. 저는 겪어 보지 못했는데, 매년 꼭 도서관에 갇히는 분들이 있어요. 도서관이 10시에 폐관을 해요. 저희가 도서관 직원분과 같이 문을 닫기 전에 폐관 방송을 하고 남아 있는 사람들이 없는지 다 확인을 해요. 그런데 그 때 화장실을 간다거나.. 구석진 곳에서 주무시고 계신다거나.. 그래서 진짜 갇히는 분들이 있다고 하더라요. 그런 분들은 10시 이후에 ADT에 전화해서 귀가하세요. 일년에 네다섯번 그런 분들이 있어요. 보통 화장실을 많이 가세요.&quot;",Photo,,,11/24/2016 08:32:47 PM, ,2757,1016,0,5089,1881,0,584,557,923,0,1976,950,0,0,300,0,0,0,0,0,0,0,0,0,0,1,135,34,1,151,35,518,96,774,149,,,,,,
134338226999288_224173258015784,https://www.facebook.com/Sghumans/posts/224173258015784:0,"#50
&quot;시간이 너무 부족한 것 같아요. 아침에 눈을 뜨면 하는 생각이, '아 이번주 금요일 면접 어떻게 해야되지?' 이 생각밖에 안 들어요. 거기에다가 학교 공부도 해야되고, 동아리 생각도 해야되고, 머리가 되게 복잡하고 정신이 없어요. 그래도 모두 다 잘 마무리 할 수 있도록 노력하고 있어요. 최선을 다해야죠!&quot;",Photo,,,11/22/2016 09:17:07 PM, ,1043,792,0,1807,1476,0,135,125,202,0,1371,687,0,0,104,0,0,0,0,0,0,0,0,0,0,,22,2,,22,2,103,28,116,86,,,,,,
134338226999288_219811488451961,https://www.facebook.com/Sghumans/posts/219811488451961:0,"#49
&quot;지금 뭐하고 계셨어요?&quot;
&quot;그냥 멍하니 앉아있던 중이에요 하하. 사실 책 읽으려 도서관에 왔는데 날씨도 우중충하고 갑자기 읽고 싶은 기분이 사라져서 ‘뭐하지...‘ 생각하던 중이였어요. 다시 네이버 의자에 앉아 생각해봐야 겠어요...!&quot;",Photo,,,11/14/2016 03:46:31 AM, ,2681,1575,0,6465,4945,0,320,292,459,0,3777,1013,0,0,186,0,0,0,0,0,0,0,0,0,0,,69,15,,71,34,265,62,367,92,,,,,,
134338226999288_212019105897866,https://www.facebook.com/Sghumans/posts/212019105897866:0,"#48
 &quot;군대를 전역한 지 얼마 되지 않았을 때 공대 형들이랑 자율주행을 할 수 있는 지능형 모형차를 개발해서 대회에 나간 적이 있어요.  이 차에 달린 카메라가 차선을 읽어서 차선을 따라가는 거 거든요. 공대에 와서 이런 공학적인 무언가를 다루는 대회나 공모전을 하고 싶어서 했는데, 대학 생활 중에 많이 기억에 남은 일들 중 하나에요. &quot;
&quot;어떤 부분이 가장 기억에 남나요?&quot;
&quot;그 때 만난 형들도 좋았고, 이런걸 만들어 보는게 처음이라서 되게 신기했어요. 사실, 대회에서 상을 받지는 못했어요. 저희는 저희가 잘했다고 생각했는데, 다른사람들은 더 잘하더라고요. 그래도 이걸 만들어보면서 '아 앞으로 이런걸 하게 되는구나' 라는 걸 알게 됐어요. 2학년때면 눈에 보이는 결과물이 있는 프로젝트를 많이 하지는 않거든요. 이 모형차를 만들어 본 이후로 전공에도 흥미가 더 생겨서 관련된 수업도 더 듣게 되고, 다른 프로젝트들도 더 재미있게 하게 돼서 좋았어요.&quot;",Photo,,,10/31/2016 08:50:46 PM, ,1434,931,0,3283,2631,0,244,232,345,0,2218,747,0,0,175,0,0,0,0,0,0,0,0,0,0,39,4,,41,4,,193,66,244,101,,,,,,
134338226999288_208525086247268,https://www.facebook.com/Sghumans/posts/208525086247268:0,"#47
&quot;저는 맛집 탐방을 좋아해요. 가고 싶은 음식점을 정해 뒀다가 약속을 잡으면 꼭 거기에서 밥을 먹기로 해요. 맛집을 찾아가서 음식 사진도 찍고 맛있는 것도 먹으면서 행복을 느껴요. 최근에는 망원동에 ‘오라방’이라는 제주도 음식점에 갔어요. 흑돼지 수육이나 갈치 튀김 같은 제주도 음식이랑 막걸리를 먹을 수 있는데 너무 좋았어요!&quot;
&quot;우리 학교 주변에도 숨겨진 맛집이 있을까요?&quot;
&quot;음…우리 학교 주변에는 ‘을밀대 골목’을 좋아해요. ‘버그네 차돌 불고기’ 아세요? 정말 맛있어요. 이번에 홍대에도 생겼더라고요!! 그리고 그 길에 ‘미가’라는 한식집도 맛있어요. &quot;",Photo,,,10/26/2016 06:40:55 PM, ,3010,1288,0,6703,3526,0,517,484,768,1,3218,936,0,0,261,0,0,0,0,0,0,0,0,0,0,125,9,2,150,12,2,438,69,666,102,1,,1,,,
